host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,host_days_active,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,first_review_interval,time_since_last_review,last_review_interval
2022-04-06,Santa Maria Maior,38.709873,-9.13038,Entire home/apt,6,139.0,3,365,9,344,6,6,1,2022-06-13,2022-08-20,3.5,4.33,21,1.91,157.0,1.0,0,1,0,0,93.0,0-6 months,25.0,2-8 weeks
2022-04-06,Campolide,38.728813,-9.163395,Entire home/apt,4,149.0,3,365,0,226,6,6,0,2022-06-07,2022-08-06,4.5,4.33,21,1.8,157.0,2.0,0,1,0,0,99.0,0-6 months,39.0,2-8 weeks
2019-12-18,Belm,38.69837,-9.22478,Entire home/apt,4,136.0,1,1125,8,321,6,6,1,2022-05-15,2022-08-15,4.0,4.33,36,1.48,997.0,1.0,1,1,0,1,122.0,0-6 months,30.0,2-8 weeks
2019-12-18,Belm,38.69822,-9.22498,Entire home/apt,4,112.0,1,1125,4,300,4,4,0,2022-06-05,2022-06-23,3.0,4.25,36,1.19,997.0,1.0,0,1,0,1,101.0,0-6 months,83.0,2-6 months
2019-12-18,Belm,38.69677,-9.22309,Entire home/apt,8,124.0,1,1125,3,300,10,10,1,2022-05-10,2022-08-14,4.0,4.6,36,2.36,997.0,1.0,0,1,0,1,127.0,0-6 months,31.0,2-8 weeks
2019-12-18,Belm,38.69785,-9.22315,Entire home/apt,3,100.0,1,1125,5,301,7,7,1,2022-06-07,2022-08-26,3.0,3.86,36,2.12,997.0,1.0,0,1,0,1,99.0,0-6 months,19.0,2-8 weeks
2019-12-18,Belm,38.69788,-9.22531,Entire home/apt,4,114.0,1,1125,15,325,4,4,1,2022-06-18,2022-08-22,3.75,4.5,36,1.36,997.0,1.0,1,1,0,1,88.0,0-6 months,23.0,2-8 weeks
2019-12-18,Belm,38.69821,-9.2237,Entire home/apt,6,138.0,1,1125,9,250,6,6,1,2022-05-28,2022-08-18,3.33,4.17,36,1.65,997.0,1.0,1,1,0,1,109.0,0-6 months,27.0,2-8 weeks
2019-12-18,Belm,38.69821,-9.2249,Entire home/apt,4,118.0,1,1125,3,291,6,6,1,2022-04-20,2022-08-24,4.17,4.5,36,1.22,997.0,1.0,1,0,0,1,147.0,0-6 months,21.0,2-8 weeks
2019-12-18,Belm,38.69794,-9.22499,Entire home/apt,4,112.0,1,1125,3,319,3,3,1,2022-05-22,2022-08-19,3.67,4.67,36,0.78,997.0,1.0,1,1,0,1,115.0,0-6 months,26.0,2-8 weeks
2019-12-18,Belm,38.69815,-9.22314,Entire home/apt,6,124.0,1,1125,6,296,11,11,0,2022-04-19,2022-08-11,4.18,4.45,36,2.23,997.0,1.0,1,1,0,1,148.0,0-6 months,34.0,2-8 weeks
2022-02-07,Alcntara,38.70743,-9.17531,Private room,3,76.0,2,365,9,307,12,12,4,2022-05-09,2022-09-08,4.33,4.5,4,2.79,215.0,1.0,1,1,0,0,128.0,0-6 months,6.0,0-2 weeks
2017-05-12,Carcavelos e Parede,38.69643,-9.35807,Private room,3,60.0,2,365,17,352,3,3,3,2022-08-22,2022-08-26,5.0,4.67,18,3.0,1947.0,1.0,0,1,0,0,23.0,0-6 months,19.0,2-8 weeks
2017-05-05,Cascais e Estoril,38.7075,-9.42964,Entire home/apt,4,192.0,1,1125,14,349,5,5,0,2022-06-18,2022-08-12,4.6,4.6,43,1.69,1954.0,1.0,1,1,0,0,88.0,0-6 months,33.0,2-8 weeks
2022-04-06,Campolide,38.726665,-9.16595,Entire home/apt,6,159.0,3,365,0,318,3,3,1,2022-05-31,2022-08-31,4.67,4.67,21,0.84,157.0,1.0,0,1,0,0,106.0,0-6 months,14.0,0-2 weeks
2015-08-14,Benfica,38.74821,-9.19658,Private room,1,30.0,1,4,3,41,14,14,7,2022-04-11,2022-09-03,5.0,4.93,1,2.69,2584.0,1.0,1,1,0,0,156.0,0-6 months,11.0,0-2 weeks
2014-02-20,Santa Brbara,39.21135,-9.29212,Entire home/apt,6,200.0,4,28,16,344,9,9,1,2022-04-16,2022-08-20,5.0,4.33,1,1.79,3124.0,2.0,1,1,1,1,151.0,0-6 months,25.0,2-8 weeks
