latitude,longitude,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating,time_since_first_review,time_since_last_review,host_days_active,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
38.7787,-9.09634,4,114.0,3,90,2,293,13,3,0,4.75,4.83,1,0.11,1.0,1,1,0,1,3495.0,34.0,3902.0,1,0,0,0
38.71261,-9.14456,4,90.0,2,90,1,121,98,14,0,4.7,4.89,9,0.73,1.0,1,1,0,1,4035.0,35.0,4110.0,1,0,0,0
38.78808,-9.45999,6,160.0,5,30,21,276,54,13,3,4.91,4.89,1,0.44,2.0,0,1,0,1,3713.0,6.0,4106.0,1,0,0,0
38.71331,-9.13314,3,99.0,1,7,3,219,206,67,5,4.89,4.84,3,1.58,1.0,0,0,1,1,3908.0,15.0,4104.0,1,0,0,0
38.70546,-9.17579,6,78.0,2,330,4,325,175,31,2,4.72,4.56,1,1.29,1.0,0,1,0,0,4077.0,19.0,4097.0,1,0,0,0
38.71563,-9.1457,6,111.0,3,185,2,38,262,12,3,4.73,4.93,1,2.02,1.5,0,1,0,0,3888.0,17.0,3909.0,1,0,0,0
38.74736,-9.13191,2,45.0,1,1125,0,301,54,8,3,4.42,4.34,7,0.4,1.0,0,0,1,0,4035.0,21.0,4171.0,0,0,1,0
38.71344,-9.13509,4,109.0,4,30,4,82,212,1,0,4.86,4.82,2,1.58,1.5,0,1,1,1,4013.0,54.0,4079.0,1,0,0,0
38.71043,-9.13087,2,99.0,3,90,0,216,442,47,6,4.92,4.92,2,3.26,1.0,0,1,1,0,4064.0,3.0,4079.0,1,0,0,0
38.71133,-9.13093,6,90.0,3,730,4,263,177,17,4,4.63,4.82,6,1.8,2.0,0,1,0,0,2947.0,17.0,4096.0,1,0,0,0
38.70916,-9.13222,6,95.0,3,365,2,213,292,38,3,4.66,4.85,6,2.17,3.0,1,1,0,0,4027.0,16.0,4096.0,1,0,0,0
38.71235,-9.1275,4,90.0,3,1125,1,286,9,8,2,5.0,5.0,3,0.14,1.0,0,1,1,0,1983.0,20.0,3898.0,1,0,0,0
38.7129,-9.13817,5,154.0,2,365,0,298,158,20,2,4.86,4.94,16,1.4,2.0,1,1,0,1,3383.0,19.0,4060.0,1,0,0,0
38.71252,-9.12911,4,83.0,3,1125,4,301,26,23,0,4.64,4.68,3,0.3,1.0,0,1,1,0,2612.0,49.0,3898.0,1,0,0,0
38.71677,-9.13359,2,91.0,4,1124,9,43,88,13,0,4.58,4.7,5,1.17,1.0,0,1,1,0,2257.0,91.0,4063.0,1,0,0,0
38.71095,-9.13192,4,170.0,2,30,4,318,472,66,6,4.85,4.92,3,3.56,1.0,0,1,1,1,3972.0,4.0,4062.0,1,0,0,0
38.80579,-9.4721,2,102.0,2,1125,17,42,232,16,2,4.77,4.76,4,1.9,1.0,0,1,1,0,3669.0,17.0,3805.0,1,0,0,0
38.70492,-9.39986,5,100.0,4,1125,0,0,133,15,0,4.71,4.86,2,1.3,1.0,0,1,1,1,3074.0,44.0,3885.0,1,0,0,0
38.80601,-9.47216,2,94.0,2,1125,8,26,159,20,4,4.66,4.69,4,1.45,1.0,1,1,1,0,3297.0,21.0,3805.0,1,0,0,0
38.70989,-9.13637,6,130.0,3,25,1,81,319,63,3,4.8,4.96,1,2.51,1.5,0,1,0,1,3810.0,16.0,3885.0,1,0,0,0
38.71441,-9.14908,2,81.0,3,21,2,26,309,35,1,4.83,4.84,1,2.62,1.0,0,0,1,0,3533.0,30.0,3795.0,0,0,1,0
38.77596,-9.15101,2,45.0,14,1125,0,292,32,9,1,4.65,4.33,1,0.43,1.0,0,1,1,1,2248.0,26.0,4126.0,1,0,0,0
38.71095,-9.13673,5,154.0,2,360,1,218,141,41,4,4.92,4.96,16,1.08,2.0,1,1,0,1,3904.0,12.0,4060.0,1,0,0,0
38.71109,-9.14715,2,91.0,3,30,1,214,660,84,7,4.98,4.94,1,5.23,1.0,1,0,1,1,3783.0,5.0,3794.0,1,0,0,0
38.71052,-9.13365,4,60.0,3,730,0,139,124,0,0,4.7,4.92,6,1.12,2.0,0,1,0,0,3323.0,736.0,4096.0,1,0,0,0
38.71015,-9.40746,3,82.0,3,100,0,197,64,7,0,4.45,4.73,2,0.51,1.0,0,1,1,0,3768.0,42.0,4095.0,1,0,0,0
38.71633,-9.13107,3,70.0,3,30,3,69,356,9,3,4.78,4.68,5,2.79,1.0,0,1,0,1,3833.0,7.0,3876.0,1,0,0,0
38.71579,-9.13382,3,85.0,2,14,4,326,231,59,2,4.34,4.63,12,1.83,1.0,0,1,1,1,3783.0,22.0,3793.0,1,0,0,0
38.71386,-9.14483,6,85.0,3,1125,4,274,180,31,7,4.64,4.88,1,1.46,1.0,0,1,1,1,3698.0,3.0,3873.0,1,0,0,0
38.71248,-9.12961,6,80.0,2,30,3,128,168,8,1,4.5,4.91,9,1.36,1.0,1,1,0,1,3715.0,7.0,4110.0,1,0,0,0
38.71112,-9.14799,5,106.0,3,90,2,140,63,19,5,4.73,4.95,1,0.78,1.0,1,1,1,0,2414.0,3.0,3869.0,1,0,0,0
38.70916,-9.40665,3,82.0,3,365,0,332,54,10,1,4.6,4.65,2,0.44,1.0,0,1,1,0,3695.0,26.0,4095.0,1,0,0,0
39.270321,-9.331069,5,100.0,5,270,10,10,11,5,0,4.91,4.64,1,0.09,1.5,0,1,1,1,3698.0,32.0,3790.0,1,0,0,0
38.71315,-9.12715,4,75.0,3,31,1,142,228,36,2,4.82,4.93,1,1.85,1.5,0,1,0,0,3689.0,8.0,4032.0,1,0,0,0
38.71225,-9.12777,2,60.0,2,150,0,206,197,13,5,4.72,4.87,2,1.48,1.0,0,0,0,0,4005.0,1.0,4025.0,1,0,0,0
38.74877,-9.1478,1,22.0,15,365,0,176,10,9,0,5.0,5.0,2,0.47,1.0,0,1,0,0,631.0,75.0,4028.0,0,0,1,0
38.71199,-9.12798,2,99.0,3,32,1,222,346,24,7,4.58,4.82,2,2.77,1.0,0,1,0,1,3749.0,2.0,3790.0,1,0,0,0
38.71186,-9.12859,3,77.0,2,14,12,347,236,44,2,4.03,4.68,12,1.88,1.0,0,1,1,1,3763.0,24.0,3793.0,1,0,0,0
38.71418,-9.13572,2,82.0,4,90,3,294,114,15,2,4.91,4.89,1,0.9,1.0,0,1,0,1,3796.0,11.0,3861.0,1,0,0,0
38.7143,-9.13059,3,94.0,2,14,8,333,234,61,5,4.59,4.82,12,2.05,1.0,0,1,0,1,3431.0,13.0,3793.0,1,0,0,0
38.73513,-9.14904,4,75.0,2,1124,1,283,135,4,0,4.44,4.77,1,1.06,1.0,0,1,1,0,3829.0,42.0,4021.0,1,0,0,0
38.72659,-9.14522,12,200.0,3,1125,0,171,5,0,0,4.8,5.0,7,0.07,2.0,0,1,0,1,2290.0,1778.0,3938.0,1,0,0,0
38.71191,-9.12864,3,92.0,2,14,0,325,278,69,2,4.49,4.79,12,2.25,1.0,1,1,1,1,3711.0,21.0,3793.0,1,0,0,0
38.72488,-9.14511,10,189.0,3,1125,12,330,6,1,0,4.6,3.83,7,0.05,3.0,1,1,0,1,3634.0,175.0,3938.0,1,0,0,0
38.71189,-9.12867,3,96.0,2,14,6,338,249,52,4,4.41,4.81,12,2.19,1.0,1,1,1,1,3415.0,15.0,3793.0,1,0,0,0
38.72541,-9.14519,4,100.0,3,1125,0,265,6,2,0,4.0,4.67,7,0.11,1.0,0,1,0,1,1576.0,35.0,3938.0,1,0,0,0
38.88991,-9.31029,2,60.0,2,30,6,296,40,12,1,4.48,4.63,4,0.34,1.0,0,0,1,1,3542.0,27.0,4094.0,1,0,0,0
38.71189,-9.12867,3,94.0,2,14,8,343,276,61,3,4.44,4.83,12,2.24,1.0,0,1,1,1,3692.0,15.0,3793.0,1,0,0,0
38.69792,-9.4225,1,50.0,2,1125,4,333,59,18,1,4.93,4.9,2,0.47,1.0,0,0,0,1,3739.0,12.0,3797.0,0,0,1,0
