host_since,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,price,minimum_nights,maximum_nights,availability_30,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_location,calculated_host_listings_count,reviews_per_month,bathrooms,Air conditioning,TV,Extra pillows and blankets,Heating
2021-10-19,Belm,38.67226,-9.2306,Private room,2,70.0,1,30,5,337,9,9,3,2022-04-01,2022-09-11,5.0,4.89,9,1.63,1.0,1,1,0,0
2022-07-08,Estrela,38.6736,-9.16464,Entire home/apt,4,143.0,3,90,0,132,1,1,0,2022-08-13,2022-08-13,5.0,5.0,1,0.94,1.5,0,1,1,1
2011-08-30,Santo Antnio,38.7225,-9.15488,Entire home/apt,5,82.0,3,365,0,241,92,10,1,2012-06-09,2022-08-28,4.12,4.59,11,0.74,1.0,1,1,1,0
2011-02-11,Estrela,38.70927,-9.16122,Entire home/apt,4,137.0,3,7,2,12,286,47,3,2011-08-08,2022-09-06,4.88,4.74,8,2.12,1.0,0,1,0,1
2019-03-10,So Bartolomeu dos Galegos e Moledo,39.3320226,-9.2673187,Private room,2,42.0,1,10,29,359,20,20,9,2022-07-10,2022-09-13,4.85,4.6,2,9.09,1.0,0,0,0,0
2020-08-14,So Bartolomeu dos Galegos e Moledo,39.32826,-9.27065,Entire home/apt,3,50.0,3,1125,2,167,3,2,0,2020-10-23,2022-08-06,5.0,5.0,1,0.13,1.0,1,1,0,0
2014-07-18,Estrela,38.68252,-9.15102,Entire home/apt,3,120.0,5,1125,20,355,7,7,1,2022-04-11,2022-08-29,5.0,5.0,2,1.35,1.0,0,1,0,0
2011-11-17,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,4,145.0,2,180,3,134,143,49,2,2012-10-17,2022-08-22,4.85,4.94,12,1.19,1.0,1,1,1,1
2011-11-17,Santa Maria Maior,38.71291,-9.14234,Entire home/apt,4,108.0,3,180,3,139,101,30,2,2012-08-21,2022-08-30,4.72,4.93,12,0.82,1.0,0,1,0,1
2011-05-26,Penha de Frana,38.72983,-9.13183,Private room,2,56.0,1,180,22,82,339,66,4,2014-08-07,2022-08-24,4.57,4.5,2,3.43,1.0,0,1,1,1
2011-04-10,Aveiras de Cima,39.16084289550781,-8.877494812011719,Private room,3,50.0,1,730,30,365,3,3,2,2022-08-10,2022-09-01,4.33,3.67,2,2.57,1.0,1,1,0,0
2012-01-26,So Vicente,38.71337,-9.12548,Entire home/apt,4,130.0,4,120,0,274,155,11,1,2012-05-03,2022-08-16,4.74,4.88,5,1.23,1.0,1,1,0,1
2011-06-02,Santa Maria Maior,38.71091,-9.13251,Entire home/apt,3,80.0,2,30,4,137,334,64,8,2011-08-14,2022-09-12,4.74,4.95,2,2.47,1.0,0,1,0,1
2012-02-21,So Vicente,38.71904,-9.13269,Entire home/apt,4,87.0,2,180,3,312,207,20,3,2013-09-29,2022-08-27,4.37,4.83,2,1.9,1.0,1,1,0,1
2011-12-03,Santo Antnio,38.72621,-9.14318,Entire home/apt,10,191.0,3,365,14,309,4,2,0,2017-04-17,2022-05-02,3.75,4.75,7,0.06,3.0,0,1,1,1
2011-12-03,Santo Antnio,38.72486,-9.14329,Entire home/apt,6,120.0,3,365,0,228,9,0,0,2014-05-29,2019-11-02,4.22,4.25,7,0.09,1.0,0,1,0,1
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,7,185.0,5,365,0,253,12,4,0,2013-03-03,2022-07-26,4.33,4.75,4,0.1,2.0,0,1,1,0
2011-06-03,So Vicente,38.71841,-9.1233,Entire home/apt,2,127.0,7,1125,5,338,202,3,2,2011-08-19,2022-09-01,4.51,4.56,2,1.5,1.0,0,1,0,1
2012-04-04,Arroios,38.7338,-9.133,Private room,2,32.0,1,1125,0,305,520,72,2,2012-08-02,2022-08-27,4.61,4.67,2,4.22,1.0,0,1,1,1
2012-04-05,Santo Antnio,38.71956,-9.14255,Entire home/apt,4,109.0,2,1125,4,71,116,10,3,2012-05-22,2022-08-30,4.81,4.94,1,0.92,1.0,0,1,1,1
2011-06-04,Misericrdia,38.71298,-9.14541,Entire home/apt,4,99.0,4,363,4,167,244,13,3,2011-07-13,2022-09-05,4.75,4.89,2,1.79,1.0,0,1,1,1
2011-06-02,Santa Maria Maior,38.71236,-9.13129,Entire home/apt,3,80.0,2,30,3,126,258,58,8,2011-10-25,2022-09-12,4.8,4.95,2,1.95,1.0,0,1,1,1
2011-08-28,Misericrdia,38.71099,-9.14829,Entire home/apt,6,97.0,3,185,0,326,298,16,4,2012-01-31,2022-09-10,4.58,4.81,21,2.3,1.0,0,1,1,0
2013-10-14,Santo Antnio,38.7213,-9.14437,Entire home/apt,2,91.0,2,1125,0,291,600,43,4,2012-02-12,2022-09-08,4.88,4.87,2,4.65,1.0,1,1,1,1
2011-06-08,Santa Maria Maior,38.71231,-9.12918,Entire home/apt,2,52.0,3,365,2,279,432,69,6,2011-07-12,2022-09-05,4.83,4.88,1,3.17,1.0,0,1,1,0
2011-12-31,Arroios,38.72199,-9.14002,Entire home/apt,6,89.0,2,365,5,112,87,12,3,2012-09-11,2022-08-26,4.73,4.76,7,0.71,1.0,1,1,0,1
2011-12-31,Santo Antnio,38.72419,-9.1474,Entire home/apt,4,110.0,3,180,0,55,103,18,2,2012-04-12,2022-08-24,4.87,4.92,7,0.81,1.0,1,1,0,1
2011-07-13,Cadaval e Pro Moniz,39.23805,-9.12181,Entire home/apt,5,89.0,3,60,15,350,92,23,3,2012-09-02,2022-09-11,4.68,4.6,4,0.75,1.0,0,1,1,0
2011-12-31,Arroios,38.72138,-9.13945,Entire home/apt,6,80.0,1,365,2,94,130,10,3,2012-09-22,2022-09-05,4.68,4.56,7,1.07,1.0,1,1,0,1
2011-06-08,Santa Maria Maior,38.71064,-9.13278,Entire home/apt,4,99.0,2,365,2,26,117,8,3,2011-08-31,2022-09-05,4.76,4.94,3,0.87,1.5,0,0,0,1
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,12,207.0,3,380,0,197,30,1,0,2011-11-28,2022-07-25,4.07,4.73,4,0.23,2.0,0,1,1,0
2011-06-09,Misericrdia,38.71308,-9.14514,Entire home/apt,7,194.0,5,367,0,250,20,1,0,2013-01-05,2022-07-12,4.2,4.47,4,0.17,1.0,1,1,0,0
2012-01-06,Misericrdia,38.71279,-9.14503,Entire home/apt,4,80.0,3,1125,0,307,449,37,3,2012-04-17,2022-08-22,4.59,4.83,1,3.54,1.0,0,1,1,1
2011-08-03,Santa Maria Maior,38.71296,-9.1363,Entire home/apt,5,177.0,2,365,2,312,75,19,0,2013-09-30,2022-07-29,4.95,4.96,16,0.69,2.0,1,1,0,1
2012-01-08,Parque das Naes,38.7787,-9.09634,Entire home/apt,4,114.0,3,90,2,293,13,3,0,2013-02-18,2022-08-11,4.75,4.83,1,0.11,1.0,1,1,0,1
2011-06-14,Misericrdia,38.71261,-9.14456,Entire home/apt,4,90.0,2,90,1,121,98,14,0,2011-08-28,2022-08-10,4.7,4.89,9,0.73,1.0,1,1,0,1
2011-06-18,Colares,38.78808,-9.45999,Entire home/apt,6,160.0,5,30,21,276,54,13,3,2012-07-15,2022-09-08,4.91,4.89,1,0.44,2.0,0,1,0,1
2011-06-20,Santa Maria Maior,38.71331,-9.13314,Entire home/apt,3,99.0,1,7,3,219,206,67,5,2012-01-02,2022-08-30,4.89,4.84,3,1.58,1.0,0,0,1,1
2011-06-27,Alcntara,38.70546,-9.17579,Entire home/apt,6,78.0,2,330,4,325,175,31,2,2011-07-17,2022-08-26,4.72,4.56,1,1.29,1.0,0,1,0,0
